#event_id,pid,pt [GeV],eta,phi,E [GeV],mass [GeV],v_true
143,13,29.5096,-1.35029,-2.50322,60.756,0.10566,0
144,90,290.783,-0.452413,-2.22428,321.767,21.4399,0
144,11,40.3113,-2.16356,-2.23421,177.711,0.000511,0
145,90,362.158,0.394066,-0.293909,405.141,107.411,0
145,13,216.064,0.238858,-3.07648,222.257,0.10566,0
146,90,288.625,1.92749,2.93631,1016.45,86.7525,1
146,90,294.174,1.12541,-0.149155,501.155,13.2926,0
146,13,49.6398,1.74997,-1.96647,147.137,0.10566,0
147,90,501.154,1.29318,-0.524962,981.976,6.62726,0
147,90,728.918,-0.172702,2.54808,745.093,88.5216,1
147,11,499.064,1.29322,-0.524771,977.886,0.000511,0
148,90,444.861,-1.89926,0.0331361,1519.92,41.9676,0
148,90,472.987,-1.43382,3.0886,1052.42,91.9166,1
148,13,57.2586,-2.10634,-2.07496,238.763,0.10566,0
149,90,561.643,-0.764528,-1.56948,739.393,89.6656,1
149,13,491.574,0.526251,1.48011,561.228,0.10566,0
150,90,327.233,1.16054,-1.91297,575.097,43.1771,0
150,13,66.0938,-0.367637,1.47892,70.611,0.10566,0
151,90,344.321,-0.883305,2.66389,495.876,90.1674,1
151,11,177.377,-0.438984,-0.266914,194.744,0.000511,0
152,90,533.838,0.135079,1.56678,550.569,113.633,0
152,11,100.077,0.218539,-1.36178,102.476,0.000511,0
153,90,328.493,-1.67254,0.639623,906.673,44.8419,1
153,13,128.297,0.456223,-2.16889,141.882,0.10566,0
154,90,257.53,-1.83108,-0.629632,827.151,69.696,1
154,11,216.186,-1.32318,2.74556,434.709,0.000511,0
155,90,367.491,0.738532,-1.86305,480.346,87.277,1
155,90,476.746,1.45445,1.12244,1079.75,84.8413,0
155,13,205.878,0.959396,-2.53045,308.121,0.10566,0
156,90,287.519,1.56247,-1.98983,716.572,29.837,0
156,90,301.491,1.33531,1.04204,619.47,91.5526,1
156,11,41.0039,-1.00082,-1.99442,63.3117,0.000511,0
157,90,552.699,-1.3117,-0.897419,1100.73,27.9388,0
157,13,372.317,0.875638,2.36626,524.409,0.10566,0
158,90,253.759,0.441616,-0.452474,293.488,91.3513,1
158,13,70.5273,1.48252,2.8306,163.31,0.10566,0
159,90,321.898,0.205973,2.64446,337.974,78.4194,1
159,13,168.217,1.35171,-0.711381,346.763,0.10566,0
160,90,256.06,1.13722,2.07267,440.314,6.28499,0
160,13,113.896,0.670078,-1.32112,140.437,0.10566,0
161,90,423.946,0.274484,-1.43176,440.199,12.6596,0
161,13,203.138,0.453268,1.70856,224.366,0.10566,0
162,90,386.35,-1.88556,-2.63194,1302.34,0.000511205,0
162,90,581.35,0.486627,0.696378,658.53,95.605,1
162,11,386.35,-1.88556,-2.63194,1302.34,0.000511,0
163,90,294.873,-1.88434,-2.98354,994.156,51.4738,1
163,90,368.827,-0.888363,0.26856,549.705,165.527,0
163,11,35.3162,-1.82343,-3.05048,112.209,0.000511,0
164,90,320.628,0.735736,1.92724,416.365,64.1539,1
164,90,426.751,0.978821,-1.3646,648.737,30.1296,0
164,13,50.1473,1.25978,-0.992893,95.4895,0.10566,0
165,90,282.187,-0.556897,1.33096,328.441,29.7832,0
165,13,40.0854,0.931793,2.69958,58.7834,0.10566,0
166,90,316.733,0.120796,0.684716,319.333,13.5292,0
166,90,441.051,1.93106,-2.24771,1555.7,93.328,1
166,13,65.4043,2.29242,2.59066,327.018,0.10566,0
167,90,265.262,0.859628,1.78441,371.787,41.5631,0
167,13,43.1163,-1.36895,2.98789,90.2336,0.10566,0
168,90,251.208,1.11727,-0.983399,426.351,33.8708,0
168,11,100.393,-1.00858,1.8552,155.933,0.000511,0
169,90,433.838,1.94643,-2.56716,1552.59,86.0767,1
169,13,103.471,1.44902,0.756053,232.486,0.10566,0
170,90,488.882,-0.20563,1.24551,500.817,39.5256,0
